RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          879     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.806D+03  2.452D+04
    1    2     1     0  ---    0  2.6D-04  1.0D+00  1.427D+03  2.155D+04
    2    4     0     0  con    1  4.4D-01  3.1D-01  1.821D+02  2.130D+04
    3    7     0     0  con    2  2.1D+01  3.1D+00  3.333D+03  2.019D+04
    4    8     0     0  con    0  1.0D+00  1.2D+00  1.113D+03  1.943D+04
    5    9     0     0  con    0  1.0D+00  5.5D-01  6.932D+02  1.928D+04
    6   10     0     0  con    0  1.0D+00  8.7D-01  6.465D+02  1.908D+04
    7   11     0     0  con    0  1.0D+00  1.8D+00  1.401D+02  1.854D+04
    8   12     0     0  con    0  1.0D+00  9.4D-01  1.296D+02  1.832D+04
    9   13     0     0  con    0  1.0D+00  1.1D+00  6.891D+01  1.814D+04
   10   14     0     0  con    0  1.0D+00  1.3D+00  2.617D+02  1.801D+04
   11   15     0     0  con    0  1.0D+00  8.0D-01  1.383D+02  1.790D+04
   12   16     0     0  con    0  1.0D+00  6.5D-01  2.014D+02  1.782D+04
   13   17     0     0  con    0  1.0D+00  7.7D-01  8.127D+01  1.773D+04
   14   18     0     0  con    0  1.0D+00  7.6D-01  1.089D+02  1.766D+04
   15   19     0     0  con    0  1.0D+00  3.7D-01  7.093D+01  1.760D+04
   16   20     0     0  con    0  1.0D+00  8.6D-01  6.300D+02  1.758D+04
   17   21     0     0  con    0  1.0D+00  2.7D-01  3.770D+02  1.754D+04
   18   22     0     0  con    0  1.0D+00  1.8D-01  9.087D+01  1.752D+04
   19   23     0     0  con    0  1.0D+00  1.6D-01  7.269D+01  1.750D+04
   20   24     0     0  con    0  1.0D+00  4.4D-01  2.338D+02  1.748D+04
   21   25     0     0  con    0  1.0D+00  2.9D-01  2.154D+02  1.745D+04
   22   27     0     0  con    1  4.6D-01  5.0D-01  1.199D+02  1.742D+04
   23   29     0     0  con    1  5.0D-01  3.5D-01  5.091D+01  1.740D+04
   24   30     0     0  con    0  1.0D+00  2.3D-01  1.188D+02  1.738D+04
   25   31     0     0  con    0  1.0D+00  2.8D-01  1.211D+02  1.736D+04
   26   32     0     0  con    0  1.0D+00  4.5D-01  4.491D+01  1.734D+04
   27   33     0     0  con    0  1.0D+00  3.8D-01  5.665D+01  1.732D+04
   28   34     0     0  con    0  1.0D+00  3.4D-01  7.858D+01  1.729D+04
   29   35     0     0  con    0  1.0D+00  4.5D-01  7.110D+01  1.727D+04
   30   36     0     0  con    0  1.0D+00  2.8D-01  1.600D+02  1.725D+04
   31   37     0     0  con    0  1.0D+00  2.4D-01  3.155D+02  1.725D+04
   32   38     0     0  con    0  1.0D+00  1.0D-01  5.940D+01  1.723D+04
   33   39     0     0  con    0  1.0D+00  5.5D-02  4.381D+01  1.723D+04
   34   40     0     0  con    0  1.0D+00  3.0D-01  1.983D+02  1.722D+04
   35   41     0     0  con    0  1.0D+00  2.2D-01  2.016D+02  1.721D+04
   36   42     0     0  con    0  1.0D+00  3.4D-01  8.753D+01  1.720D+04
   37   43     0     0  con    0  1.0D+00  2.2D-01  2.372D+01  1.719D+04
   38   44     0     0  con    0  1.0D+00  1.3D-01  8.302D+01  1.718D+04
   39   45     0     0  con    0  1.0D+00  2.4D-01  8.412D+01  1.718D+04
   40   46     0     0  con    0  1.0D+00  2.9D-01  6.631D+01  1.717D+04
   41   47     0     0  con    0  1.0D+00  6.8D-02  2.993D+01  1.717D+04
   42   48     0     0  con    0  1.0D+00  1.5D-01  3.712D+01  1.716D+04
   43   49     0     0  con    0  1.0D+00  2.7D-01  4.083D+01  1.715D+04
   44   50     0     0  con    0  1.0D+00  4.3D-01  5.836D+01  1.715D+04
   45   51     0     0  con    0  1.0D+00  2.3D-01  1.618D+02  1.714D+04
   46   52     0     0  con    0  1.0D+00  1.2D-01  6.276D+01  1.713D+04
   47   53     0     0  con    0  1.0D+00  2.6D-01  3.315D+01  1.713D+04
   48   54     0     0  con    0  1.0D+00  1.2D-01  1.842D+01  1.712D+04
   49   55     0     0  con    0  1.0D+00  1.5D-01  9.688D+01  1.712D+04
   50   56     0     0  con    0  1.0D+00  9.3D-02  1.383D+01  1.712D+04
   51   57     0     0  con    0  1.0D+00  1.6D-01  4.529D+01  1.711D+04
   52   58     0     0  con    0  1.0D+00  2.1D-01  4.966D+01  1.711D+04
   53   59     0     0  con    0  1.0D+00  3.1D-01  6.956D+01  1.711D+04
   54   60     0     0  con    0  1.0D+00  2.7D-01  5.840D+01  1.710D+04
   55   61     0     0  con    0  1.0D+00  9.5D-02  1.624D+01  1.710D+04
   56   62     0     0  con    0  1.0D+00  1.2D-01  1.779D+01  1.710D+04
   57   63     0     0  con    0  1.0D+00  2.0D-01  3.849D+01  1.709D+04
   58   65     0     0  con    1  3.3D-01  9.2D-02  3.967D+01  1.709D+04
   59   66     0     0  con    0  1.0D+00  8.0D-02  3.156D+01  1.709D+04
   60   67     0     0  con    0  1.0D+00  1.6D-01  1.586D+01  1.709D+04
   61   68     0     0  con    0  1.0D+00  1.9D-01  2.032D+01  1.709D+04
   62   69     0     0  con    0  1.0D+00  4.2D-01  3.886D+01  1.708D+04
   63   70     0     0  con    0  1.0D+00  8.6D-02  1.690D+01  1.708D+04
   64   71     0     0  con    0  1.0D+00  2.1D-01  2.540D+01  1.708D+04
   65   72     0     0  con    0  1.0D+00  2.7D-01  9.461D+01  1.708D+04
   66   73     0     0  con    0  1.0D+00  8.4D-02  2.533D+01  1.707D+04
   67   74     0     0  con    0  1.0D+00  1.7D-01  2.956D+01  1.707D+04
   68   75     0     0  con    0  1.0D+00  1.9D-01  4.556D+01  1.707D+04
   69   76     0     0  con    0  1.0D+00  3.6D-01  3.519D+01  1.707D+04
   70   78     0     0  con    1  3.4D-01  9.0D-02  8.479D+01  1.706D+04
   71   79     0     0  con    0  1.0D+00  8.2D-02  2.292D+01  1.706D+04
   72   80     0     0  con    0  1.0D+00  2.2D-01  1.412D+01  1.706D+04
   73   81     0     0  con    0  1.0D+00  9.3D-02  4.574D+01  1.706D+04
   74   82     0     0  con    0  1.0D+00  1.6D-01  2.466D+01  1.706D+04
   75   83     0     0  con    0  1.0D+00  3.6D-01  2.372D+01  1.705D+04
   76   84     0     0  con    0  1.0D+00  1.2D-01  2.700D+01  1.705D+04
   77   85     0     0  con    0  1.0D+00  1.8D-01  1.534D+01  1.705D+04
   78   87     0     0  con    1  5.1D-01  4.5D-02  3.797D+01  1.705D+04
   79   88     0     0  con    0  1.0D+00  6.1D-02  9.928D+00  1.705D+04
   80   89     0     0  con    0  1.0D+00  8.0D-02  1.589D+01  1.705D+04
   81   90     0     0  con    0  1.0D+00  9.1D-02  4.240D+01  1.705D+04
   82   91     0     0  con    0  1.0D+00  1.6D-01  2.032D+01  1.705D+04
   83   92     0     0  con    0  1.0D+00  4.0D-02  6.864D+00  1.704D+04
   84   93     0     0  con    0  1.0D+00  8.8D-02  1.702D+01  1.704D+04
   85   94     0     0  con    0  1.0D+00  1.1D-01  1.444D+01  1.704D+04
   86   95     0     0  con    0  1.0D+00  2.4D-01  2.484D+01  1.704D+04
   87   96     0     0  con    0  1.0D+00  3.7D-02  5.313D+00  1.704D+04
   88   97     0     0  con    0  1.0D+00  4.1D-02  7.255D+00  1.704D+04
   89   98     0     0  con    0  1.0D+00  9.9D-02  1.099D+01  1.704D+04
   90   99     0     0  con    0  1.0D+00  1.8D-01  2.068D+01  1.704D+04
   91  100     0     0  con    0  1.0D+00  2.0D-01  1.312D+01  1.704D+04
   92  101     0     0  con    0  1.0D+00  7.1D-02  5.223D+01  1.704D+04
   93  102     0     0  con    0  1.0D+00  2.6D-02  9.625D+00  1.704D+04
   94  103     0     0  con    0  1.0D+00  3.2D-02  1.416D+01  1.704D+04
   95  104     0     0  con    0  1.0D+00  9.2D-02  1.948D+01  1.704D+04
   96  105     0     0  con    0  1.0D+00  1.1D-01  1.638D+01  1.704D+04
   97  106     0     0  con    0  1.0D+00  1.1D-01  3.490D+01  1.704D+04
   98  107     0     0  con    0  1.0D+00  3.1D-02  3.964D+00  1.704D+04
   99  108     0     0  con    0  1.0D+00  3.2D-02  5.060D+00  1.704D+04
  100  109     0     0  con    0  1.0D+00  5.1D-02  6.541D+00  1.703D+04
  101  110     0     0  con    0  1.0D+00  1.6D-01  1.099D+01  1.703D+04
  102  111     0     0  con    0  1.0D+00  1.1D-01  1.161D+01  1.703D+04
  103  112     0     0  con    0  1.0D+00  6.9D-02  3.769D+00  1.703D+04
  104  113     0     0  con    0  1.0D+00  1.3D-01  2.300D+01  1.703D+04
  105  115     0     0  con    1  4.7D-01  1.1D-01  2.447D+01  1.703D+04
  106  116     0     0  con    0  1.0D+00  7.2D-02  1.082D+01  1.703D+04
  107  117     0     0  con    0  1.0D+00  1.8D-01  5.799D+00  1.703D+04
  108  118     0     0  con    0  1.0D+00  1.7D-01  1.197D+01  1.703D+04
  109  119     0     0  con    0  1.0D+00  5.1D-01  2.538D+01  1.703D+04
  110  121     0     0  con    1  4.7D-01  3.1D-01  2.791D+01  1.703D+04
  111  122     0     0  con    0  1.0D+00  1.8D-01  4.786D+01  1.703D+04
  112  123     0     0  con    0  1.0D+00  1.2D-01  1.636D+01  1.703D+04
  113  124     0     0  con    0  1.0D+00  1.8D-01  1.448D+01  1.702D+04
  114  125     0     0  con    0  1.0D+00  1.4D-01  2.075D+01  1.702D+04
  115  127     0     0  con    1  4.6D-01  1.4D-01  2.411D+01  1.702D+04
  116  129     0     0  con    1  2.9D-01  1.3D-01  1.533D+01  1.702D+04
  117  130     0     0  con    0  1.0D+00  1.1D-01  6.671D+01  1.702D+04
  118  131     0     0  con    0  1.0D+00  1.3D-01  6.417D+01  1.702D+04
  119  132     0     0  con    0  1.0D+00  3.9D-02  8.655D+00  1.702D+04
  120  133     0     0  con    0  1.0D+00  3.2D-02  1.234D+01  1.701D+04
  121  134     0     0  con    0  1.0D+00  5.6D-02  3.145D+01  1.701D+04
  122  135     0     0  con    0  1.0D+00  1.0D-01  1.782D+01  1.701D+04
  123  136     0     0  con    0  1.0D+00  1.6D-01  3.475D+01  1.701D+04
  124  137     0     0  con    0  1.0D+00  8.4D-02  1.302D+01  1.701D+04
  125  138     0     0  con    0  1.0D+00  1.0D-01  2.326D+01  1.701D+04
  126  139     0     0  con    0  1.0D+00  1.3D-01  2.928D+01  1.701D+04
  127  140     0     0  con    0  1.0D+00  2.8D-01  2.671D+01  1.701D+04
  128  141     0     0  con    0  1.0D+00  8.8D-02  5.067D+01  1.701D+04
  129  142     0     0  con    0  1.0D+00  5.9D-02  6.279D+00  1.701D+04
  130  143     0     0  con    0  1.0D+00  7.6D-02  1.631D+01  1.701D+04
  131  144     0     0  con    0  1.0D+00  1.7D-01  3.464D+01  1.700D+04
  132  145     0     0  con    0  1.0D+00  2.0D-01  1.819D+01  1.700D+04
  133  146     0     0  con    0  1.0D+00  2.4D-01  3.143D+01  1.700D+04
  134  147     0     0  con    0  1.0D+00  9.5D-02  1.219D+01  1.700D+04
  135  148     0     0  con    0  1.0D+00  5.4D-02  2.503D+01  1.700D+04
  136  149     0     0  con    0  1.0D+00  1.0D-01  1.464D+01  1.700D+04
  137  150     0     0  con    0  1.0D+00  2.4D-01  2.513D+01  1.700D+04
  138  151     0     0  con    0  1.0D+00  7.5D-02  1.887D+01  1.700D+04
  139  152     0     0  con    0  1.0D+00  3.7D-02  1.724D+01  1.700D+04
  140  153     0     0  con    0  1.0D+00  1.2D-01  1.363D+01  1.700D+04
  141  154     0     0  con    0  1.0D+00  9.7D-02  3.512D+01  1.700D+04
  142  155     0     0  con    0  1.0D+00  3.1D-02  1.043D+01  1.700D+04
  143  156     0     0  con    0  1.0D+00  7.1D-02  6.344D+00  1.700D+04
  144  157     0     0  con    0  1.0D+00  5.8D-02  1.972D+01  1.699D+04
  145  158     0     0  con    0  1.0D+00  8.8D-02  8.578D+00  1.699D+04
