RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         1325     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     4.938D+05  4.355D+05
    1    2     1     0  ---    0  2.0D-06  1.0D+00  1.559D+05  1.384D+05
    2    3     0     0  con    0  1.0D+00  4.6D-01  8.351D+04  8.450D+04
    3    4     0     0  con    0  1.0D+00  5.3D-01  3.298D+04  5.472D+04
    4    5     0     0  con    0  1.0D+00  3.5D-01  1.226D+04  4.708D+04
    5    6     0     0  con    0  1.0D+00  2.1D-01  3.186D+03  4.552D+04
    6    7     0     0  con    0  1.0D+00  7.3D-02  4.509D+02  4.539D+04
    7    8     0     0  con    0  1.0D+00  1.6D-02  8.018D+01  4.538D+04
    8    9     0     0  con    0  1.0D+00  1.5D-02  1.978D+02  4.538D+04
    9   10     0     0  con    0  1.0D+00  8.7D-02  7.612D+02  4.536D+04
   10   11     0     0  con    0  1.0D+00  2.2D-01  1.518D+03  4.533D+04
   11   12     0     0  con    0  1.0D+00  6.7D-01  2.903D+03  4.522D+04
   12   13     0     0  con    0  1.0D+00  1.9D+00  5.357D+03  4.493D+04
   13   14     0     0  con    0  1.0D+00  5.7D+00  9.935D+03  4.421D+04
   14   15     0     0  con    0  1.0D+00  5.6D+00  1.201D+04  4.347D+04
   15   16     0     0  con    0  1.0D+00  3.5D+00  1.020D+04  4.212D+04
   16   17     0     0  con    0  1.0D+00  8.8D-01  4.391D+03  4.044D+04
   17   18     0     0  con    0  1.0D+00  4.1D-01  6.601D+02  4.021D+04
   18   19     0     0  con    0  1.0D+00  1.2D-01  1.825D+02  4.020D+04
   19   20     0     0  con    0  1.0D+00  3.7D-02  3.699D+02  4.019D+04
   20   21     0     0  con    0  1.0D+00  2.6D-01  1.234D+03  4.015D+04
   21   22     0     0  con    0  1.0D+00  4.7D-01  2.386D+03  4.006D+04
   22   23     0     0  con    0  1.0D+00  1.4D+00  4.133D+03  3.985D+04
   23   24     0     0  con    0  1.0D+00  2.6D+00  5.855D+03  3.942D+04
   24   25     0     0  con    0  1.0D+00  3.9D+00  5.904D+03  3.876D+04
   25   28     0     0  con    2  6.9D-02  1.6D+00  6.339D+03  3.865D+04
   26   29     0     0  con    0  1.0D+00  4.5D+00  3.725D+03  3.786D+04
   27   30     0     0  con    0  1.0D+00  3.9D+00  6.186D+02  3.746D+04
   28   31     0     0  con    0  1.0D+00  1.9D+00  5.021D+02  3.739D+04
   29   32     0     0  con    0  1.0D+00  1.3D+00  8.782D+02  3.736D+04
   30   33     0     0  con    0  1.0D+00  2.0D+00  1.019D+03  3.731D+04
   31   34     0     0  con    0  1.0D+00  3.6D+00  3.086D+02  3.712D+04
   32   35     0     0  con    0  1.0D+00  8.0D+00  8.827D+02  3.667D+04
   33   36     0     0  con    0  1.0D+00  1.3D+01  9.213D+02  3.599D+04
   34   38     0     0  con    1  1.1D-01  1.2D+00  1.491D+03  3.590D+04
   35   39     0     0  con    0  1.0D+00  6.1D+00  1.792D+03  3.560D+04
   36   41     0     0  con    1  1.0D-01  2.8D+00  1.255D+03  3.526D+04
   37   43     0     0  con    1  5.2D-01  2.7D+00  2.941D+02  3.493D+04
   38   44     0     0  con    0  1.0D+00  2.0D+00  9.453D+02  3.479D+04
   39   45     0     0  con    0  1.0D+00  1.4D+00  7.510D+02  3.471D+04
   40   46     0     0  con    0  1.0D+00  7.4D+00  1.703D+02  3.448D+04
   41   48     0     0  con    1  3.8D-01  4.1D+00  1.467D+02  3.443D+04
   42   49     0     0  con    0  1.0D+00  3.9D+00  9.682D+01  3.425D+04
   43   50     0     0  con    0  1.0D+00  3.8D+00  1.027D+03  3.387D+04
   44   51     0     0  con    0  1.0D+00  3.0D+00  3.118D+02  3.370D+04
   45   52     0     0  con    0  1.0D+00  2.5D+00  4.554D+02  3.366D+04
   46   54     0     0  con    1  2.7D-02  3.2D-01  1.004D+02  3.365D+04
   47   55     0     0  con    0  1.0D+00  3.9D-01  9.920D+01  3.364D+04
   48   56     0     0  con    0  1.0D+00  4.1D+00  4.294D+02  3.358D+04
   49   57     0     0  con    0  1.0D+00  5.3D+00  5.925D+02  3.349D+04
   50   59     0     0  con    1  4.8D-01  1.4D+00  2.669D+02  3.347D+04
   51   60     0     0  con    0  1.0D+00  9.9D-01  2.976D+01  3.344D+04
   52   61     0     0  con    0  1.0D+00  1.3D+00  1.083D+02  3.343D+04
   53   62     0     0  con    0  1.0D+00  1.1D+00  1.789D+02  3.342D+04
   54   63     0     0  con    0  1.0D+00  2.8D+00  9.264D+01  3.341D+04
   55   64     0     0  con    0  1.0D+00  6.5D+00  2.158D+01  3.340D+04
   56   65     0     0  con    0  1.0D+00  1.8D-01  2.519D+01  3.340D+04
   57   67     0     0  con    1  8.9D-03  1.6D-01  1.047D+02  3.340D+04
   58   68     0     0  con    0  1.0D+00  1.1D+00  2.425D+01  3.339D+04
   59   69     0     0  con    0  1.0D+00  5.1D-01  2.782D+01  3.339D+04
   60   70     0     0  con    0  1.0D+00  2.2D+00  4.666D+01  3.338D+04
   61   72     0     0  con    1  3.4D-01  5.3D-01  1.147D+02  3.337D+04
   62   73     0     0  con    0  1.0D+00  8.9D-01  4.582D+01  3.337D+04
   63   74     0     0  con    0  1.0D+00  2.7D-01  1.039D+01  3.337D+04
   64   75     0     0  con    0  1.0D+00  1.8D-01  8.452D+00  3.337D+04
   65   77     0     0  con    1  5.6D-02  1.4D-01  5.093D+01  3.337D+04
   66   78     0     0  con    0  1.0D+00  1.4D-01  3.416D+01  3.336D+04
   67   79     0     0  con    0  1.0D+00  5.0D-01  1.159D+01  3.336D+04
