Film,Year,Body_Count,MPAA_Rating,Genre,Director,Actors,Length_Minutes,IMDB_Rating
24 Hour Party People,2002,7,R,Biography|Comedy|Drama|Music,Michael Winterbottom,Steve Coogan|John Thomson|Paul Popplewell|Lennie James|Shirley Henderson|Mark Windows|Paddy Considine|Raymond Waring|Ron Cook|John Simm|Danny Cunningham|Dave Gorman|Ralf Little|Andy Serkis|Nigel Pivaro|Martin Hancock|Peter Kay|Mark E. Smith|Naomi Radcliffe|Sean Harris|Tim Horrocks|Rob Brydon|Howard Devoto|Collette Cooper|Tracy Cunliffe|Enzo Cilenti|Duncan Whitworth|Michael Mitchell Jr.|Claire Lever|Neil Bell|Aidan Cross|Simon Pegg|Elizabeth Kelly|Darren Tighe|Chris Coghill|Anna Tyborczyk|Peter Gunn|Dan Hope|Nick Clarke|Margi Clarke|Mani|Smug Roberts|Clint Boon|Toby Salaman|Conrad Murray|Martin Coogan|Rowetta Satchell|Kieran O'Brien|Kate Magowan|Paul Ryder|Roger Kennedy|Sean Cernow|Fiona Allen|Helen Schlesinger|Joshua McNicholas|Tony Wilson|Keith Allen|Dino|A. Bowser|Gary Roberts|Kenny Baker|Michael Biggam|Jean-Jacques Burnel|Nigel Martin Davey|Happy Mondays|Joy Division|John Lydon|Sean McKenzie|Steve McTigue|Iggy Pop|Terri Seymour|Simply Red|Siouxsie Sioux|Paul Swan|Paul Weller,117,7.4
3:10 to Yuma,2007,45,R,Adventure|Crime|Drama|Western,James Mangold,Russell Crowe|Christian Bale|Logan Lerman|Dallas Roberts|Ben Foster|Peter Fonda|Vinessa Shaw|Alan Tudyk|Luce Rains|Gretchen Mol|Lennie Loftin|Rio Alexander|Johnny Whitworth|Shawn Howell|Pat Ricotti|Ramon Frank|Deryle J. Lujan|James 'Scotty' Augare|Brian Duffy|Jason Rodriguez|Kevin Durand|Chris Browning|Chad Brummett|Forrest Fyre|Luke Wilson|Benjamin Petry|Arron Shiver|Sean Hennigan|Girard Swan|Christopher Berry|David Oliver|Jason Henning|Barbara Bartleson|James Blackburn|Brian Brown|Trevor Coppola|Harp Corrigan|Hugh Elliot|Darren Gibson|KC King|Melinda Kramer|Brent Lambert|Billy Lockwood|J. Nathan Simmons|Art Usher,122,7.8
300,2006,0,R,Action|Fantasy|History|War,Zack Snyder,Gerard Butler|Lena Headey|Dominic West|David Wenham|Vincent Regan|Michael Fassbender|Tom Wisdom|Andrew Pleavin|Andrew Tiernan|Rodrigo Santoro|Giovani Cimmino|Stephen McHattie|Greg Kramer|Alex Ivanovici|Kelly Craig|Eli Snyder|Tyler Neitzel|Tim Connolly|Marie-Julie Rivest|Sebastian St. Germain|Peter Mensah|Arthur Holden|Michael Sinelnikoff|John Dunn-Hill|Dennis St John|Neil Napier|Dylan Smith|Maurizio Terrazzano|Robert Paradis|Kwasi Songui|Alexandra Beaton|Frédéric Smith|Loucas Minchillo|Nicholas Minchillo|Tom Rack|David Francis|James Bradford|Andrew Shaver|Robin Wilcock|Kent McQuaid|Marcel Jeannin|Jere Gillis|Jeremy Thibodeau|Tyrone Benskin|Robert Maillet|Patrick Sabongui|Leon Laderach|Dave Lapommeray|Vervi Mauricio|Charles Papasoff|Isabelle Champeau|Veronique-Natale Szalankiewicz|Maéva Nadon|David Thibodeau|David Schaap|Jean Michel Paré|Stewart Myiow|Andreanne Ross|Sara Giacalone|Ariadne Bourbonnière|Isabelle Fournel|Sandrine Merette-Attiow|Elisabeth Etienne|Danielle Hubbard|Ruan Vibegaard|Genevieve Guilbault|Bonnie Mak|Amélie Sorel|Caroline Aspirot|Gina Gagnon|Tania Trudell|Stéphanie Aubry|Mercedes Leggett|Stephania Gambaroff|Chanelle Lamothe|Sabrina-Jasmine Guilbault|Manny Cortez Tuazon|Atif Y. Siddiqi|Camille Rizkallah|Trudi Hanley|Neon Cobran|Gary A. Hecker|Devin Delorme|Deke Richards|Marc Trottier|Duy Vo Van|Agnieshka Wnorowska,117,7.8
8MM,1999,7,R,Crime|Mystery|Thriller,Joel Schumacher,Nicolas Cage|Joaquin Phoenix|James Gandolfini|Peter Stormare|Anthony Heald|Chris Bauer|Catherine Keener|Myra Carter|Amy Morton|Jenny Powell|Anne Gee Byrd|Jack Betts|Luis Oropeza|Rachel Singer|Don Creech|Norman Reedus|Fran Bennett|Wilma Bonet|Luis Saguar|Walter K. Jordan|Norm Compton|Brian Keith Russell|John Robb|Devan Brown|Doris Brent|Robert Amico|Kiva Dawson|Eva Minemar|Rachel Wolfe|Suzy Nakamura|Torsten Voges|Tahitia Dean|Texas Terri|Vernon Guichard II|Emily Patrick|Nancy Vee|Lisa Vanasco|Bridgett Vera|Jennifer Harris|Burton Richards|Jovanna Vitiello|David U. Hodges|William Lawrence Mack|Lorena Martinez|Connie Mercurio|William Buck|Kerry Corcoran|Mario Ernesto Sánchez|Claudia Aros|Alba Albanese|Bob Clendenin|Vito D'Amico|Daniel Dehring|Gilley Grey|Jacklyn Lick|Al Quinn|Louis E. Rosas|Kipling Rowe,123,6.4
The Abominable Dr. Phibes,1971,10,PG-13,Fantasy|Horror,Robert Fuest,Vincent Price|Joseph Cotten|Hugh Griffith|Terry-Thomas|Virginia North|Peter Jeffrey|Derek Godfrey|Norman Jones|John Cater|Aubrey Woods|John Laurie|Maurice Kaufmann|Barbara Keogh|Sean Bury|Susan Travers|David Hutcheson|Edward Burnham|Alex Scott|Peter Gilmore|Alan Zipson|Dallas Adams|James Grout|Alister Williamson|Thomas Heathcote|Ian Marter|Charles Farrell|Julian Grant|John Franklyn|Walter Horsbrugh|Joanna Lumley|Paul Frees|Caroline Munro,94,7.2
Above the Law,1988,18,,Action|Crime|Drama|Thriller,Andrew Davis,Steven Seagal|Pam Grier|Henry Silva|Ron Dean|Daniel Faraldo|Sharon Stone|Miguel Nino|Nicholas Kusenko|Joe Greco|Chelcie Ross|Gregory Alan Williams|Jack Wallace|Metta Davis|Joseph F. Kosala|Ronnie Barron|Joe D. Lauck|Henry Godinez|Danny Goldring|Thalmus Rasulala|Gene Barge|Mike James|India Cooper|Michelle Hoard|Christopher Peditto|Rafael González|Nydia Rodriguez Terracina|Cheryl Hamada|Ralph Foody|Vince Viverito|Alex Ross|Toni Fleming|Gene Hartline|Tom Milanovich|Dan Janecek|Michael Rooker|Lee de Broux|Patrick Gorman|Gary Goldman|Le Tuan|Dennis Phun|April Tran|Chantara Nop|Al Rasho|Mike Coglianese|Sandy Holt|Mike Nakayama|Zaid Farid|Juan Ramírez|Mario Nieves|Terry Stewart|Anthony Cannata|Lisa Tejero|Chris Karchmar|John Drummond|Clare Peck|Tom Muzila|Craig Dunn|Marc Katz|Haruo Matsuoka|Fred Degerberg|Robert Minkoff|Richard Nixon|Thi Kim Phuc Phan|Timothy W. Tiedje,99,5.9
Action Jackson,1988,17,,Action|Comedy|Crime|Thriller,Craig R. Baxley,Carl Weathers|Craig T. Nelson|Vanity|Sharon Stone|Thomas F. Wilson|Bill Duke|Robert Davi|Jack Thibeau|Roger Aaron Brown|Stan Foster|Mary Ellen Trainor|Ed O'Ross|Bob Minor|David Glen Eisley|Dennis Hayden|Brian Libby|David Efron|Alonzo Brown|Diana James|Matt Landers|Thomas Wagner|Deidre Conrad|William H. Burton|Preston Hanson|Ivor Barry|Al Leong|John Lyons|Glenn R. Wilder|Steve Vandeman|Michael McManus|De'voreaux White|Melissa Prophet|Prince Hughes|Jim Haynie|Edgar Small|James Lew|Nicholas Worth|Chino 'Fats' Williams|Christopher Broughton|Charles Meshack|Miguel A. Núñez Jr.|Branscombe Richmond|Richard L. Duran|Bros The Knudsen|Armelia McQueen|Sonny Landham|Susan Lentini|Kenneth B. Belsky|Francis X. McCarthy|Ronnie Carol|Tom Druilhet|J. Mills Goodloe|Dominic Jack Pizzo Sr.|Paul Sofronoff,96,5.0
The Adventures of Ford Fairlane,1990,7,,Action|Adventure|Comedy|Music,Renny Harlin,Andrew Dice Clay|Wayne Newton|Priscilla Presley|Morris Day|Lauren Holly|Maddie Corman|Gilbert Gottfried|David Patrick Kelly|Brandon Call|Robert Englund|Ed O'Neill|Vince Neil|Sheila E.|David Arnott|Mark Goldstein|Cody Jarrett|William Shockley|Mark Zuelke|Steve White|Kari Wuhrer|Delia Sheppard|Kimber Sissons|Monique Mannen|Pamela Adlon|Hili Park|Gry Park|Kurt Loder|Cindy Lehre|Phil Soussan|Carlos Cavazo|Randy Castillo|Peter Michael Escovedo|Zina Escovedo|Juan Jose Escovedo|Paul Christopher|J.D. Reilly|Boni Boyer|Consuela Nance|Diane Almeida|Aurorah Allain|Kurt James Stefka|Jaz Kaner|David Bowe|Michael Alan Kahn|Willie Garson|Ladd Vance|Robert Mangiardi|Kristin Pearcey|Lori Pfeiffer|Diana Barrows|Lala Sloatman|Lee Lawrence|Connie Johnson|Jordan Lund|Allan Wasserman|Charlie Hawke|Rita Bland|Kathleen Monica|Randy Crenshaw|John Hammond|Tone Loc|Hot Tub Johnny West|Edward D'Lorenzo|Sandra Sheeler|Edmund E. Villa|Jimmy Zavala|David McLaurin|Lee Thornberg|William 'Smitty' Smith|James Dale|John Menzano|Rick Marotta|Rene Zendejas|Thom Fountain|Dana Kelly|Kirk Knowlden|Douglas Seymour|Christopher D. Childers|Lisa Matthews|Pamela Pond|Cindyana Santangelo|Katariina Souri,104,6.2
?on Flux,2005,58,PG-13,Action|Sci-Fi,Karyn Kusama,Charlize Theron|Marton Csokas|Jonny Lee Miller|Sophie Okonedo|Frances McDormand|Pete Postlethwaite|Amelia Warner|Caroline Chikezie|Nikolai Kinski|Paterson Joseph|Yangzom Brauen|Aoibheann O'Hara|Thomas Huber|Weijian Liu|Maverick Quek|Ralph Herforth|Megan Gay|Rainer Will|Charlie Beall|Bruno Bruni Jr.|Ronald Marx|Axel Schreiber|Katie Mullins|Shaun Lawton|Terry Bartlett|Betty Okino|Anatole Taubman|Lavinia Wilson|Khira Lilli Pobanz|William Morts|Phil Hay|Nils Dommning|Bojan Heyn|Justin Schierlo|Marianne Sonneck|Joost Siedhoff|Tamara Röhl|Narges Rashidi|Claas Würfel|Robin Gooch|Anna De Carlo|Martha Fessehatzion|Milton Welsh|Mehmet Yilmaz|Alex Benjamin|Natacza Boon|Clio Burggraeve|Alexander Flache|Lilja Loeffler|Kim Pfeiffer|Michael Pink|Joachim Schoenfeld|Claudine Biswas|Jannik Büddig|Peggy Flood|Mirko Lang|Mickey Nedimovic|Karolin Peiter|Wil Röttgen|Wolfgang Stegemann|Stuart Townsend|Timmi Trinks,93,5.5
Akira,1988,119,R,Animation|Action|Adventure|Drama|Horror|Mystery|Sci-Fi|Thriller,Katsuhiro Ohtomo,Mitsuo Iwata|Nozomu Sasaki|Mami Koyama|Tesshô Genda|Hiroshi Ôtake|Kôichi Kitamura|Michihiro Ikemizu|Yuriko Fuchizaki|Masaaki Ôkura|Tarô Arakawa|Takeshi Kusao|Kazumi Tanaka|Masayuki Katô|Yôsuke Akimoto|Masato Hirano|Yukimasa Kishino|Kazuhiro Kamifuji|Tatsuhiko Nakamura|Fukue Itô|Issei Futamata|Kôzô Shioya|Michitaka Kobayashi|Hideyuki Umezu|Satoru Inagaki|Kayoko Fujii|Masami Toyoshima|Yuka Ôno|Tarô Ishida|Mizuho Suzuki|Cam Clarke|Steve Kramer|Lewis Lemay|Barbara Goodson|Jan Rabson|Tony Pope|Lara Cody|Bob Bergen|Melora Harte|Watney Held|Wally Burr|Julie Phelan|Eddie Frierson|Brad Wurst|Bruce Winant|Johnny Yong Bosch|Joshua Seth|Wendee Lee|Sandy Fox|Jamieson Price|Cody MacKenzie|Bob Buchholz|Kirk Thornton|Chloe Thornton|Detroit Louie|Matthew Mercer|Matthew Hustin|Michael Lindsay|Michael Sorich|Michael Forest|Mike Reynolds|Paul St. Peter|Lee Kelso|Patricia Ja Lee|Mona Marshall|Michael McConnohie|Michelle Ruff|Peter Lee|Stephen Apostolina|Robert Axelrod|Rebecca Forstadt|Steve Staley|Derek Stephen Prince|Steve Blum|Skip Stellrecht|Simon Prescott|Ted Rae|Tony Oliver|William Knight|William Bassett|Kurt P. Wimberger|Lisa Tarulli|Jessica Gee|Joe Romersa|Ivan Buckley|Jonathan C. Osborne|Josil Ferhardt|Julie Ann Taylor|Guy Pinkham|Mike Lembaw|Peter Spellos|Doug Stone|Bambi Darro|Emilie Brown de Azevedo|Ezra Weisz|Sam Strong|Steve McGowan|Dan Martin|Dan Woren|W.T. Hatch|Christopher Joyce|Adam Sholder|Tony Sarducci|Lex Lang|Kevin Seymour|Beau Billingslea|Harold Muckle,124,8.1
