Film,Year,Kill_Count,IMDB_url
24 Hour Party People,2002,7,http://www.imdb.com/title/tt0274309/
3:10 To Yuma,2007,45,http://www.imdb.com/title/tt0381849/
300,2007,,http://www.imdb.com/title/tt0416449/
8MM,1999,1,http://www.imdb.com/title/tt0134273/
The Abominable Dr. Phibes,1971,10,http://www.imdb.com/title/tt0066740/
Above the Law,1988,18,http://www.imdb.com/title/tt0094602/
Action Jackson,1988,5,http://www.imdb.com/title/tt0094612/
The Adventures of Ford Fairlane,1990,7,http://www.imdb.com/title/tt0098987/
Aeon Flux,2005,58,http://us.imdb.com/title/tt0402022/
Akira,1988,119,http://www.imdb.com/title/tt0094625/
Ali G Indahouse,2002,11,http://www.imdb.com/title/tt0284837/
Alien,1979,2,http://www.imdb.com/title/tt0078748/
Aliens vs. Predator: Requiem,2007,115,http://www.imdb.com/title/tt0758730/
Alpha Dog,2007,3,http://imdb.com/title/tt0426883/
Altered States,1980,5,http://www.imdb.com/title/tt0080360/
American Gangster,2007,15,http://www.imdb.com/title/tt0765429/
American Ninja,1985,114,http://www.imdb.com/title/tt0088708/
American Pop,1981,61,http://www.imdb.com/title/tt0082009/
American Psycho,2000,18,http://amazon.imdb.com/title/tt0144084/
American Yakuza,1993,53,http://www.imdb.com/title/tt0109099/
Another Day In Paradise,1997,9,http://www.imdb.com/title/tt0127722/
Apocalypse Now,1979,62,http://imdb.com/title/tt0078788/
Apocalypto,2006,114,http://www.imdb.com/title/tt0472043/
Appaloosa,2008,10,http://www.imdb.com/title/tt0800308/
Armageddon,1998,16,http://www.imdb.com/title/tt0120591/
The Evil Dead III,1993,107,http://www.imdb.com/title/tt0106308/
Assault On Precinct 13,1976,39,http://www.imdb.com/title/tt0074156/
Assault On Precinct 13,2005,21,http://imdb.com/title/tt0398712/
Atonement,2007,34,http://www.imdb.com/title/tt0783233/
Austin Powers in Goldmember,2002,6,http://www.imdb.com/title/tt0295178/
Bad Boys,1995,30,http://www.imdb.com/title/tt0112442/
Bad Boys II,2003,4,http://www.imdb.com/title/tt0172156/
Bangkok Dangerous,2008,38,http://www.imdb.com/title/tt0814022/
The Bank Job,2008,4,http://www.imdb.com/title/tt0200465/
District B13,2004,34,http://www.imdb.com/title/tt0414852/
Barton Fink,1991,3,http://www.imdb.com/title/tt0101410/
Batman,1989,56,http://imdb.com/title/tt0096895/
Batman Begins,2005,18,http://www.imdb.com/title/tt0372784/
Batman Returns,1992,18,http://www.imdb.com/title/tt0103776/
A Better Tomorrow,1986,65,http://www.imdb.com/title/tt0092263/
A Better Tomorrow II,1987,199,http://imdb.com/title/tt0094357/
The Big Hit,1998,38,http://www.imdb.com/title/tt0120609/
Big Trouble In Little China,1986,46,http://www.imdb.com/title/tt0090728/
The Black Dahlia,2006,13,http://imdb.com/title/tt0387877/
Blade,1998,14,http://www.imdb.com/title/tt0120611/
Blade II,2002,77,http://www.imdb.com/title/tt0187738/
Blade: Trinity,2004,4,http://www.imdb.com/title/tt0359013/
Blade Runner,1982,5,http://www.imdb.com/title/tt0083658/
BloodRayne,2006,102,http://www.imdb.com/title/tt0383222/
Blood Diamond,2006,187,http://www.imdb.com/title/tt0450259/
The Boondock Saints,1999,33,http://www.imdb.com/title/tt0144117/
The Bourne Identity,2002,8,http://www.imdb.com/title/tt0258463/
The Bourne Supremacy,2004,9,http://www.imdb.com/title/tt0372183/
The Bourne Ultimatum,2007,,http://www.imdb.com/title/tt0440963/
Braveheart,1995,10,http://www.imdb.com/title/tt0112573/
Brazil,1985,3,http://imdb.com/title/tt0088846/
Bridge of Dragons,1999,109,http://www.imdb.com/title/tt0194722/
Broken Arrow,1996,25,http://www.imdb.com/title/tt0115759/
Brotherhood,2001,10,http://www.imdb.com/title/tt0237534/
Buffalo Soldiers,2001,16,http://www.imdb.com/title/tt0252299/
Bullet in the Head,1990,214,http://imdb.com/title/tt0099426/
Bulletproof Monk,2003,37,http://www.imdb.com/title/tt0245803/
Cabin Fever,2002,19,http://www.imdb.com/title/tt0303816/
Casino,1995,25,http://www.imdb.com/title/tt0112641/
Casino Royale,2006,,http://www.imdb.com/title/tt0381061
Charlie Wilson's War,2007,22,http://www.imdb.com/title/tt0472062/
Charlie's Angels: Full Throttle,2003,39,http://imdb.com/title/tt0305357/
Children of Men,2006,77,http://www.imdb.com/title/tt0206634/
Christine,1983,6,http://www.imdb.com/title/tt0085333/
A Christmas Story,1983,4,http://www.imdb.com/title/tt0085334/
