"IMDB_URL","Film","Year","Body_Count"
"http://www.imdb.com/title/tt0274309/","24 Hour Party People",2002,7
"http://www.imdb.com/title/tt0381849/","3:10 To Yuma",2007,45
"http://www.imdb.com/title/tt0416449/","300",2007,0
"http://www.imdb.com/title/tt0134273/","8MM",1999,7
"http://www.imdb.com/title/tt0066740/","The Abominable Dr. Phibes",1971,10
"http://www.imdb.com/title/tt0094602/","Above the Law",1988,18
"http://www.imdb.com/title/tt0094612/","Action Jackson",1988,17
"http://www.imdb.com/title/tt0098987/","The Adventures of Ford Fairlane",1990,7
"http://us.imdb.com/title/tt0402022/","Aeon Flux",2005,58
"http://www.imdb.com/title/tt0094625/","Akira",1988,119
"http://www.imdb.com/title/tt0284837/","Ali G Indahouse",2002,11
"http://www.imdb.com/title/tt0078748/","Alien",1979,9
"http://www.imdb.com/title/tt0758730/","Aliens vs. Predator: Requiem",2007,115
"http://imdb.com/title/tt0426883/","Alpha Dog",2007,3
"http://www.imdb.com/title/tt0080360/","Altered States",1980,5
"http://www.imdb.com/title/tt0765429/","American Gangster",2007,15
"http://www.imdb.com/title/tt0088708/","American Ninja",1985,114
"http://www.imdb.com/title/tt0082009/","American Pop",1981,61
"http://amazon.imdb.com/title/tt0144084/","American Psycho",2000,18
"http://www.imdb.com/title/tt0109099/","American Yakuza",1993,53
"http://www.imdb.com/title/tt0127722/","Another Day In Paradise",1997,9
"http://imdb.com/title/tt0078788/","Apocalypse Now",1979,62
"http://www.imdb.com/title/tt0472043/","Apocalypto",2006,114
"http://www.imdb.com/title/tt0800308/","Appaloosa",2008,10
"http://www.imdb.com/title/tt0120591/","Armageddon",1998,16
"http://www.imdb.com/title/tt0106308/","Evil Dead III: Army Of Darkness",1993,107
"http://www.imdb.com/title/tt0074156/","Assault On Precinct 13",1976,39
"http://imdb.com/title/tt0398712/","Assault On Precinct 13",2005,21
"http://www.imdb.com/title/tt0783233/","Atonement",2007,34
"http://www.imdb.com/title/tt0295178/","Austin Powers in Goldmember",2002,6
"http://www.imdb.com/title/tt0112442/","Bad Boys",1995,30
"http://www.imdb.com/title/tt0172156/","Bad Boys II",2003,63
"http://www.imdb.com/title/tt0814022/","Bangkok Dangerous",2008,38
"http://www.imdb.com/title/tt0200465/","The Bank Job",2008,4
"http://www.imdb.com/title/tt0414852/","District B13",2004,34
"http://www.imdb.com/title/tt0101410/","Barton Fink",1991,3
"http://imdb.com/title/tt0096895/","Batman",1989,56
"http://www.imdb.com/title/tt0372784/","Batman Begins",2005,18
"http://www.imdb.com/title/tt0103776/","Batman Returns",1992,18
"http://www.imdb.com/title/tt0092263/","A Better Tomorrow",1986,65
"http://imdb.com/title/tt0094357/","A Better Tomorrow II",1987,199
"http://www.imdb.com/title/tt0120609/","The Big Hit",1998,38
"http://www.imdb.com/title/tt0090728/","Big Trouble In Little China",1986,46
"http://imdb.com/title/tt0387877/","The Black Dahlia",2006,13
"http://www.imdb.com/title/tt0120611/","Blade",1998,111
"http://www.imdb.com/title/tt0187738/","Blade II",2002,98
"http://www.imdb.com/title/tt0359013/","Blade: Trinity",2004,140
"http://www.imdb.com/title/tt0083658/","Blade Runner",1982,5
"http://www.imdb.com/title/tt0383222/","BloodRayne",2006,102
"http://www.imdb.com/title/tt0450259/","Blood Diamond",2006,187
"http://www.imdb.com/title/tt0144117/","Boondock Saints",1999,33
"http://www.imdb.com/title/tt0258463/","The Bourne Identity",2002,8
"http://www.imdb.com/title/tt0372183/","The Bourne Supremacy",2004,9
"http://www.imdb.com/title/tt0440963/","The Bourne Ultimatum",2007,5
"http://www.imdb.com/title/tt0112573/","Braveheart",1995,184
"http://imdb.com/title/tt0088846/","Brazil",1985,25
"http://www.imdb.com/title/tt0194722/","Bridge of Dragons",1999,109
"http://www.imdb.com/title/tt0115759/","Broken Arrow",1996,25
"http://www.imdb.com/title/tt0237534/","Brotherhood of the Wolf",2001,40
"http://www.imdb.com/title/tt0252299/","Buffalo Soldiers",2001,16
"http://imdb.com/title/tt0099426/","Bullet in the Head",1990,214
"http://www.imdb.com/title/tt0245803/","Bulletproof Monk",2003,37
"http://www.imdb.com/title/tt0303816/","Cabin Fever",2002,19
"http://www.imdb.com/title/tt0112641/","Casino",1995,25
"http://www.imdb.com/title/tt0381061","Casino Royale",2006,0
"http://www.imdb.com/title/tt0472062/","Charlie Wilson's War",2007,22
"http://imdb.com/title/tt0305357/","Charlie's Angels: Full Throttle",2003,39
"http://www.imdb.com/title/tt0206634/","Children of Men",2006,77
"http://www.imdb.com/title/tt0085333/","Christine",1983,6
"http://www.imdb.com/title/tt0085334/","A Christmas Story",1983,4
"http://www.imdb.com/title/tt0363771/","Chronicles of Narnia: The Lion, the Witch

& the Wardrobe",2005,86
"http://www.imdb.com/title/tt0296572/","The Chronicles of Riddick",2004,187
"http://www.imdb.com/title/tt0191037/","Circus",2000,8
"http://www.imdb.com/title/tt0099277/","Class of 1999",1990,43
"http://www.imdb.com/title/tt0109444/","Clear & Present Danger",1994,41
"http://www.imdb.com/title/tt0066921/","A Clockwork Orange",1971,7
"http://www.imdb.com/title/tt1060277/","Cloverfield",2008,27
"http://www.imdb.com/title/tt0369339/","Collateral",2004,17
"http://www.imdb.com/title/tt0290538/","Confessions of a Dangerous Mind",2002,50
"http://www.imdb.com/title/tt0088944/","Commando",1985,88
"http://www.imdb.com/title/tt0118880/","Con Air",1997,30
"http://www.imdb.com/title/tt0118883/","Conspiracy Theory",1997,7
"http://www.imdb.com/title/tt0387131/","The Constant Gardener",2005,18
"http://www.imdb.com/title/tt0360486/","Constantine",2005,7
"http://www.imdb.com/title/tt0163818/","Hitman",1998,25
"http://www.imdb.com/title/tt0142192/","The Corruptor",1999,37
"http://www.imdb.com/title/tt0245844/","The Count of Monte Cristo",2002,5
"http://imdb.com/title/tt0306685/","Cradle 2 The Grave",2003,13
