V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,State,Gender,SawSurvey,Intro,userid,q50,q258,q100,q181,q294,q286,q288,q1,q300,q121,q174,q127,q56,q7,q98,q237,q117,q172,q222,q313,q204,q405,q79,q210,q151,q173,q69,q168,q748,q269,q257,q195,q423,q9,q318,q276,q302,q22,q96,q328,q25,q15,q118,q183,q216,q176,q64,q234,q202,q28,q191,q89,q111,q275,q12,q742,q357,q82,q289,q135,q97,q238,q268,q546,q70,q333,q186,q196,q475,q153,q132,q125,q228,q144,q483,q194,q245,q323,q197,q185,q11,q282,q496,q568,q301,q265,q655,q182,q273,q143,q179,q180,q471,q161,q71,q8,q95,q427,q678,q322,q235,q435,q508,q88,q215,q271,q4,q603,q187,q385,q175,q200,q597,q211,q588,q515,q403,q208,q230,q272,q134,q250,q527,q474,q298,q284,q393,q209,q274,q340,q307,q124,q147,q13,q14,q23,q203,q732,q751,q514,q566,q480,q479,q591,q419,q283,q845,q83,q58,q327,q326,q24,q154,q432,q511,q255,q99,q133,q137,q229,q218,q651,q433,q188,q367,q451,q402,q684,q321,q628,q319,q582,q226,q199,q739,q523,q692,q411,q259,q66,q443,q410,q285,q227,q476,q248,q315,q472,q252,q193,q685,q150,q240,q690,q31,q660,q431,q498,q550,q77,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,State,Gender,SawSurvey,"Science Week Talk: The Data Farm /  /  Welcome to our special survey for the Science Week Talk, ""The...",Username Please give us a name that you'd like to use as a 'handle' or / 'nickname'. This name shou...,Star Wars (1977),Contact (1997),Fargo (1996),Return of the Jedi (1983),Liar Liar (1997),"English Patient, The (1996)",Scream (1996),Toy Story (1995),Air Force One (1997),Independence Day (ID4) (1996),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Pulp Fiction (1994),Twelve Monkeys (1995),"Silence of the Lambs, The (1991)",Jerry Maguire (1996),"Rock, The (1996)","Empire Strikes Back, The (1980)",Star Trek: First Contact (1996),Titanic (1997),Back to the Future (1985),Mission: Impossible (1996),"Fugitive, The (1993)",Indiana Jones and the Last Crusade (1989),Willy Wonka and the Chocolate Factory (1971),"Princess Bride, The (1987)",Forrest Gump (1994),Monty Python and the Holy Grail (1974),"Saint, The (1997)","Full Monty, The (1997)",Men in Black (1997),"Terminator, The (1984)",E.T. the Extra-Terrestrial (1982),Dead Man Walking (1995),Schindler's List (1993),Leaving Las Vegas (1995),L.A. Confidential (1997),Braveheart (1995),Terminator 2: Judgment Day (1991),Conspiracy Theory (1997),"Birdcage, The (1996)",Mr. Holland's Opus (1995),Twister (1996),Alien (1979),When Harry Met Sally... (1989),Aliens (1986),"Shawshank Redemption, The (1994)",Jaws (1975),Groundhog Day (1993),Apollo 13 (1995),Amadeus (1984),Blade Runner (1982),"Truth About Cats & Dogs, The (1996)",Sense and Sensibility (1995),"Usual Suspects, The (1995)",Ransom (1996),One Flew Over the Cuckoo's Nest (1975),Jurassic Park (1993),Evita (1996),2001: A Space Odyssey (1968),Dances with Wolves (1990),Raising Arizona (1987),Chasing Amy (1997),Broken Arrow (1996),Four Weddings and a Funeral (1994),"Game, The (1997)","Blues Brothers, The (1980)",Dead Poets Society (1989),Trainspotting (1996),"Fish Called Wanda, A (1988)","Wizard of Oz, The (1939)",Phenomenon (1996),Star Trek: The Wrath of Khan (1982),Die Hard (1988),Casablanca (1942),"Sting, The (1973)","Devil's Own, The (1997)",Dante's Peak (1997),"Graduate, The (1967)",Psycho (1960),Seven (Se7en) (1995),"Time to Kill, A (1996)",It's a Wonderful Life (1946),Speed (1994),In & Out (1997),"Hunt for Red October, The (1990)",Stand by Me (1986),GoodFellas (1990),Heat (1995),"Sound of Music, The (1965)","Clockwork Orange, A (1971)",Apocalypse Now (1979),Courage Under Fire (1996),Top Gun (1986),"Lion King, The (1994)",Babe (1995),Aladdin (1992),To Kill a Mockingbird (1962),Volcano (1997),Murder at 1600 (1997),Mars Attacks! (1996),Butch Cassidy and the Sundance Kid (1969),"People vs. Larry Flynt, The (1996)",Sleepless in Seattle (1993),Field of Dreams (1989),Starship Troopers (1997),Get Shorty (1995),Rear Window (1954),"Godfather: Part II, The (1974)",True Lies (1994),Brazil (1985),"Shining, The (1980)",Eraser (1996),M*A*S*H (1970),Beauty and the Beast (1991),"Boot, Das (1981)",Batman (1989),Young Frankenstein (1974),Star Trek IV: The Voyage Home (1986),Good Will Hunting (1997),Citizen Kane (1941),"Fifth Element, The (1997)",Gandhi (1982),Dr. Strangelove or: How I Learned to Stop Worrying and Love the / Bomb (1963),Face/Off (1997),Tin Cup (1996),Mrs. Doubtfire (1993),This Is Spinal Tap (1984),Sabrina (1995),Boogie Nights (1997),"Devil's Advocate, The (1997)",Lone Star (1996),"Long Kiss Goodnight, The (1996)",Mighty Aphrodite (1995),"Postino, Il (1994)",Taxi Driver (1976),Unforgiven (1992),Dave (1993),Tomorrow Never Dies (1997),Annie Hall (1977),Clear and Present Danger (1994),North by Northwest (1959),Vertigo (1958),Primal Fear (1996),Mary Poppins (1964),Emma (1996),That Thing You Do! (1996),Much Ado About Nothing (1993),Quiz Show (1994),Cop Land (1997),G.I. Jane (1997),Rumble in the Bronx (1995),Monty Python's Life of Brian (1979),Fantasia (1940),Lawrence of Arabia (1962),My Best Friend's Wedding (1997),Snow White and the Seven Dwarfs (1937),Gone with the Wind (1939),Big Night (1996),Star Trek III: The Search for Spock (1984),Cape Fear (1991),Glory (1989),Heathers (1989),Full Metal Jacket (1987),Clueless (1995),Grease (1978),Ghost (1990),In the Line of Fire (1993),Mother (1996),Sleepers (1996),Everyone Says I Love You (1996),"Piano, The (1993)",Die Hard 2 (1990),"Bridge on the River Kwai, The (1957)",Pretty Woman (1990),Cool Hand Luke (1967),"American President, The (1995)","Nutty Professor, The (1996)",George of the Jungle (1997),While You Were Sleeping (1995),"Birds, The (1963)",Kingpin (1996),Secrets & Lies (1996),Star Trek VI: The Undiscovered Country (1991),"First Wives Club, The (1996)",Grosse Pointe Blank (1997),Apt Pupil (1998),Dragonheart (1996),"Lost World: Jurassic Park, The (1997)","Right Stuff, The (1983)",Executive Decision (1996),Swingers (1996),Beavis and Butt-head Do America (1996),Seven Years in Tibet (1997),Crimson Tide (1995),Fried Green Tomatoes (1991),Highlander (1986),"African Queen, The (1951)",Die Hard: With a Vengeance (1995),"Firm, The (1993)",LocationLatitude,LocationLongitude,LocationAccuracy,
R_27jviFsSZtoRSSR,Default Response Set,Anonymous,,,85.133.27.15,0,2015-03-02 19:32:18,2015-03-02 19:33:53,1,,,1,1,lawrennd,,,,,,,4,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,4,,-1,,,,,,,,,-1,,,,,,,,4,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,,,-1,,,,,,3,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,4,,,,,51.514205932617,-0.093093872070312,-1,
R_2oCHfzpfoLWAkAt,Default Response Set,Anonymous,,,195.89.201.254,0,2015-03-03 10:15:32,2015-03-03 10:17:15,1,,,1,1,spanna,,,,,,,,,,,,,,,,-1,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,-1,,,,,,,,,,,-1,,-1,,,,,,,3,,,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,-1,,,,-1,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,,,,,,,,,,,-1,,,,-1,,-1,,,,,,,53.36669921875,-1.5,-1,
R_bdZgRmvlRYdhUk1,Default Response Set,Anonymous,,,92.29.67.189,0,2015-03-03 10:17:29,2015-03-03 10:19:35,1,,,1,1,Smeagol,,-1,,5,,,,,3,,4,,,,,3,,,,,,,-1,,,,,,,,2,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,-1,,,,-1,,,,,,,,,2,,5,4,,-1,,,,,,,,,,,-1,,,-1,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.433303833008,-1.3500061035156,-1,
R_3dYbaZUglveusDl,Default Response Set,Anonymous,,,143.167.169.97,0,2015-03-03 10:18:45,2015-03-03 10:20:13,1,,,1,1,filmgeek1988,,,,,,,,,,,,,,-1,,,4,,,,,,-1,,,,,,,,,,,,,,4,-1,,,,,,,,-1,,,,,,,,,,,,5,,,,,,,,,,,,,,-1,,4,5,,,-1,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,5,,,,-1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,-1,,,,,,4,,,,,,,,,,,,,,,,,,,4,,,,3,,,,,,,,,,,,53.36669921875,-1.5,-1,
R_2wmLPo49lRg1eP8,Default Response Set,Anonymous,,,31.205.1.34,0,2015-03-03 10:19:23,2015-03-03 10:20:46,1,,,1,1,JoeLEE,,,,,,,,,4,,,4,,,4,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,-1,,,-1,,-1,,,,,,,,,,,-1,3,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,-1,,,-1,,,,,,,,,,,,-1,53.381195068359,-1.4855041503906,-1,
R_2n468V1rgvKBfMd,Default Response Set,Anonymous,,,81.149.148.191,0,2015-03-03 10:21:35,2015-03-03 10:23:45,1,,,1,1,stifflersmom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,3,5,,,,,,,-1,,,,,,,,,,,-1,,,,,,,,,,,,,,,4,,4,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,4,-1,,,,4,,,-1,,,,,-1,3,,,,,,,,,,,,,-1,,,,,,,-1,,,,-1,,,,,,3,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,,,51.514205932617,-0.093093872070312,-1,
R_3dWgtWY0Eel0Zqs,Default Response Set,Anonymous,,,143.167.138.227,0,2015-03-03 10:22:46,2015-03-03 10:24:49,1,,,1,1,HunterF58,,,,,-1,-1,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,2,,,,,,-1,,,,,,,,,,,,,,,,,-1,,,,,,4,,,3,,,,,,,,,,,,,-1,3,,,,-1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,-1,,,-1,,,,-1,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,53.36669921875,-1.5,-1,
R_3qjNEXT2XhFBsCU,Default Response Set,Anonymous,,,143.167.35.229,0,2015-03-03 10:15:32,2015-03-03 10:33:14,1,,,1,1,Emeric,,,,,,,,,,,,,,,-1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,-1,,,,,,,,,,,,-1,,,,,,,,,,,,,,-1,,-1,,,,,,,,,,,,,,,5,,,,,,,,,,,5,,,,,,3,,,,,,,,,,,,-1,,,,,,-1,,,,-1,,,5,,,-1,,,,3,,,,5,,,,,,,,5,,,,-1,,,,,,,,,-1,,,,,,53.36669921875,-1.5,-1,
R_psiRCuFhVneUeoV,Default Response Set,Anonymous,,,143.167.207.87,0,2015-03-03 10:32:50,2015-03-03 10:34:24,1,,,1,1,Jay,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,-1,,,,,-1,,,,,,,,,,-1,,,,,,,-1,,,-1,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,-1,,,,-1,,,,,,,,,,,,,,,,-1,,-1,,,,,,,,,,,,-1,,,,,,,,,,,-1,,,,,,,,,,,,,,,,-1,,,-1,,-1,,,,,,,,,,,,,,-1,,,-1,,,,,,,,53.36669921875,-1.5,-1,
